NBHD_NAME,pct_nhb,pct_hh_poverty,pct_hl,pct_less_hs_edu,pct_hh_snap,pct_under5,pct_65plus,pct_unemployed,pct_nhw,pct_no_insurance,alc_to_food,can_to_food,grocery_store_access,street_temp_pctile,transport_noise,tree_equity_score,pct_pre1980_housing,pm25,o3,pm10,no2,so2,co,life_exp,DEPRESSION,STROKE,CHD,SLEEP,CANCER,MHLTH,COPD,CASTHMA,COREM,CHECKUP,DIABETES,CSMOKING,GHLTH,HIGHCHOL,DENTAL,OBESITY,LPA,CERVICAL,BPHIGH,COREW,COLON_SCREEN,KIDNEY,ast_hosp,lbw_pct
East Colfax,21.115678722404883,14.462667919210896,29.83635509628934,18.02853922029122,20.245467355565996,5.763917332080789,6.055941756693283,8.560281822451856,36.64460310004697,9.917200563644904,1.6,0.6,2.92672506,0.4121442307692308,51.75610406625839,91.77431049460219,77.73033348990137,8.152534641,32.277588,31.55005281973817,19.90411097907184,0.6698936461873309,0.35816746241494707,77.03829957356076,22.56729407002631,2.319226877150374,3.5192268771503743,31.5759158065169,3.961546245699251,18.292268771503746,4.831714227889091,10.757680631451123,42.571698113207546,62.14231936854888,7.586520947176685,17.365310665857113,17.34608378870674,27.009613438575187,56.43379882614856,24.74420157862781,20.784537543007488,80.0641641247663,23.41536126290225,39.407547169811316,NA,2.3548067192875934,164.526628577269,11.147306930693068
Five Points,11.688719647890807,15.326680183967163,18.565778151426734,4.975025963107661,9.944216408684042,3.825157014984422,4.11982592354483,5.9534444389496075,62.125592206122356,7.85586766233124,1.27272727273,0.909090909091,66.23591972,0.7268227848101266,51.0886470340038,86.64099148166363,25.784110578111864,8.005508661651554,30.05269,29.44530316597395,18.388349897128617,0.639700184,0.35142371896833186,75.37303629469122,22.65365600528352,1.6237475233512597,2.6793282385130675,27.744155108972542,3.3978677233701293,16.440343428625344,3.279318803660723,9.652240777431834,44.263414634146336,59.1935843004057,5.330851967166714,12.559335786394945,11.598273422020945,23.91874705160864,64.9328993301255,21.589734880649115,14.00421737899802,81.64562573953324,18.656260024530617,41.34756097560975,NA,1.8018964053212567,94.1845289276808,13.860568738229755
Fort Logan,2.520062871898507,9.21461771640283,20.860031435949253,9.922207252722577,5.848793084091164,6.727439092848322,19.812125294712025,3.9321432581115974,65.99186033456832,3.7783653306388234,0,0,2.00991908,0.2932875,53.79807548522949,95.02678541085062,73.54539126529696,7.558817258,36.755374,30.50735381162409,20.30131622449832,0.6557447201491484,0.3922222650914737,78.15925714936768,21.36364271980423,2.9176192973256425,5.544048243314106,26.633787799335778,7.513529103303618,14.593340325117987,5.871945464079706,9.555147701450796,50.67878315132605,66.38758958224088,8.115014857542388,13.494161859814719,15.27865757734662,34.03751092466353,65.63450445726272,21.43656703373536,18.50312882363223,82.97797818791945,27.42431393113092,43.84836193447738,NA,3.096574025520014,33.76690370796206,9.609197802197802
Gateway - Green Valley Ranch,28.298066040803935,6.864848340307438,42.674127875463434,13.987483468117858,9.002332892483144,7.967595342887497,6.567048977733452,6.0951759425882965,19.498183119051234,12.627962188062355,4.33333333333,0.333333333333,29.20686306,0.6350299539170506,53.828596019345845,80.27421207406522,2.731381306506515,8.316131292,34.184844,32.36138594973121,19.19670700263841,0.7033124332836935,0.34452087781347696,79.28555742010799,21.49452210910196,1.9536316669199207,2.7497720711138123,32.09648229752317,3.466008205439903,17.25986932077192,3.862209390670111,10.480626044674061,43.12296450939458,61.794750037988145,6.634037380337334,16.021638048928732,15.55161069746239,25.279668743352076,59.31879653548093,25.014010028870995,19.290259838930254,83.30521160782237,21.51654763713721,41.01691022964509,NA,2.086385047865066,85.2719027986585,11.5200162842339
Globeville - Elyria Swansea,3.5810301390314456,18.286040869646357,72.24500326583932,39.54961276476626,19.483596155640573,4.954278249510124,6.520350844452739,4.854072968181394,20.654922086404778,22.067780162358872,1.75,2.625,5.22954092,0.6623193493150685,52.397412214710634,61.57216011399246,79.26596995427825,8.844882059721995,30.479731699939535,28.278391642739308,23.329265055353787,0.6378469058231243,0.32838153278299753,75.01945829666569,22.53864864864865,2.6615315315315313,4.538468468468468,30.053873873873872,3.7845945945945947,19.138648648648648,5.269279279279279,10.530810810810811,35.36895306859206,59.64612612612613,9.838468468468468,17.853963963963963,24.5,29.746126126126125,48.66144144144144,26.776936936936938,27.892252252252252,78.36852207293666,23.476936936936937,32.95379061371841,NA,2.923063063063063,97.44216286569915,9.79364230769231
Goldsmith,9.551596014186792,14.657372065529472,10.42266509035636,5.00761695659517,16.808968079716262,11.77020773517987,16.606265833474076,7.375798007093396,72.43943590609695,11.449079547373755,0,0,43.08638673,0.3923364055299539,57.744399397140704,88.90987699564226,82.70896807971626,8.062304556501402,34.643349349890826,30.96534389760556,20.071642584838397,0.660386704,0.3771760872829965,73.8,21,2.8999999999999995,5.3,27.5,6.799999999999999,15.3,5.5,9.8,49.2,65.7,7.700000000000001,12.900000000000002,15.2,31.199999999999996,63.7,21.9,18.5,82.2,26.6,39.5,NA,3,64.04703373015873,9.400823529411765
Hale,2.5018267463235295,7.226102941176471,16.49934512867647,5.033099724264707,6.5708984374999995,5.051206341911764,9.81608455882353,1.5338005514705884,70.94665670955882,6.3505859375,0.333333333333,0.166666666667,88.33674364,0.2780828220858896,53.805285963245325,95.83115455638963,78.96783088235294,8.029657601584091,31.564034,30.67663473328323,19.923616325403607,0.6531185393302622,0.36732828978545234,78.89932033096926,21.81344455348381,1.892541707556428,3.32090284592738,26.104514229636898,5.486555446516192,13.940333660451422,3.6776251226692835,9.385083415112856,52.65951417004048,63.473110893032384,5.505986261040236,10.617958783120706,10.05377821393523,28.507458292443573,71.4730127576055,20.18361138370952,12.417958783120707,86.07419641271532,21.226889106967615,46.665182186234816,NA,2.128361138370952,27.079263708309778,5.302116417910447
Hampden,9.991337775499744,9.956955407483342,15.632306509482316,5.9589441312147615,4.894720656073808,6.424864172219375,15.883982573039466,5.446212198872374,64.30250128139416,6.569733470015377,3,2,53.37183763,0.31238573743922204,53.16471130636057,95.75116789365867,72.23145053818556,8.034694795986292,35.45083174438929,31.17014390497107,19.962348177858136,0.66489196,0.37311549852567655,80.37718967921896,21.724015369836696,2.896716443978692,5.3771373679154655,26.607309405292114,7.568937210723954,14.749401798969522,5.6832329054231066,9.894175181206881,50.694335169158144,67.3430268098856,7.86961837394114,12.57840363287049,14.155933979565102,33.1344424067767,66.98054318400139,21.439367740808663,16.89972054842372,83.09532684412049,27.81933455593398,43.49598741148702,NA,3.056082438215003,66.21953167925207,10.177112754158966
Hampden South,7.986661083861706,6.516329704510109,16.132964469434143,2.8958667304701518,5.479507118076325,4.989795430075367,17.04359971288432,3.9364876181361406,70.89888144514894,8.49831917693504,4.5,2,28.7323387,0.3449181561618062,51.41497142251112,95.14532823615302,59.16836344060294,7.9491666398783245,36.425399999999996,31.14392548,19.953915982357874,0.6649703035935826,0.37446764961629425,82.01339803207979,21.187640449438202,2.319230386795267,4.288624838421,25.45597096549667,7.0160385800934675,13.591160385800933,4.391896191707269,9.368738192303868,54.228683035714276,66.0508998707368,6.257363030724869,10.532564383016805,10.99091180272447,31.250651287660336,71.89968181366213,19.648523416525805,13.717589738490602,84.9902960040791,24.238540320175,47.76417410714286,NA,2.5846972258128664,56.11121519599936,8.65877950310559
Harvey Park,1.802008288173414,9.269126554032516,53.51410583359898,16.207379662097548,4.232228243544788,8.932881734140897,11.509387950270959,5.708080969078738,39.76174689193497,13.467771756455212,7,0,23.92580418,0.30801769911504423,52.484988268426314,92.2052845464681,96.17986930188077,8.027323102,35.24931221929658,30.150718660142346,20.71682741458727,0.6504600742075594,0.40557534319640626,78.35317172989139,21.759839118129,2.7560107254580664,4.9680321763742,28.13989274541933,5.480053627290332,16.471860569045138,5.687978549083867,9.819946372709667,43.85891891891892,62.440160881871,8.656010725458065,15.635796216296738,19.48388201996127,31.304096529122603,57.20026813645166,23.88388201996127,23.0959034708774,80.9,24.64808580366453,37.483783783783785,NA,2.956010725458066,75.14712282422163,10.574865671641792
Harvey Park South,3.470700636942675,14.142775729131746,47.9257682422617,19.68587551681752,14.09247960665996,6.012884121130853,12.10398927254442,3.531590121801319,40.634663090848136,12.692937758408762,2,0,16.4549483,0.3023890784982935,54.74175955195592,93.76178638430927,82.842965694491,7.875879592270312,35.899224000000004,30.32288639794857,20.524635153186185,0.6527705896779179,0.39910543752963046,75.83970156002714,22.152743902439024,3.1254573170731703,5.590548780487804,28.048018292682926,6.3934451219512205,16.464024390243903,6.466920731707317,10.111280487804878,45.97644539614561,64.08689024390245,9.132012195121952,15.926219512195123,19.7375,33.06981707317074,58.17118902439025,23.2734756097561,23.007317073170732,79.89010487229666,26.616006097560973,39.52312633832976,NA,3.230182926829268,56.466072275550545,8.105643564356436
Highland,0.6273648648648649,6.166909672830727,18.43780227596017,6.541349573257468,2.559690611664296,3.7237375533428163,6.844594594594595,3.6498310810810812,73.08856685633,7.237259957325747,2.66666666667,1.33333333333,43.084455319999996,0.5580477386934674,54.403975293337254,89.65525418537123,43.491980796586056,8.087208231936419,30.37672172678556,26.07325886384248,19.471757183006375,0.621658978,0.3443210266502451,76.02148815482148,21.877843777843776,1.6916542916542916,3.0833085833085834,25.36115236115236,4.594386694386694,14.586189486189486,3.1916542916542916,9.208345708345709,48.284536082474226,61.05265815265815,5.419423819423819,10.569498069498069,11.18057618057618,26.18042768042768,68.3998514998515,20.344460944460945,13.988921888921888,85.30400153905349,18.85265815265815,41.26254295532646,NA,2.091654291654292,39.2450846869049,9.70185655737705
Hilltop,4.764505964438443,5.732252982219221,7.363380598694576,2.4863380598694573,0.9661264911096106,6.861197389151474,21.1,4.218591042088679,77.07922574836822,1.1229574611748818,0,0,19.9184921,0.15517810760667902,53.67374585024377,99.23701527131266,68.26880486158001,8.077376113,32.238395000000004,30.79734967043884,20.001056146932576,0.6555704599498584,0.3716509415859029,84.94608034744844,19.456268727330073,2.3688061819902226,4.525074909320296,23.13149345529096,8.512537454660148,11.00641854597067,3.925074909320297,8.768806181990222,56.81988217967599,69.2250749093203,6.137612363980445,7.750149818640592,9.18776218262104,33.593581454029334,77.98686327077748,18.237612363980443,11.36910581927141,88.60576954397395,25.68776218262104,48.75346097201767,NA,2.725074909320296,34.98317242363689,10.6055
Indian Creek,9.4,9,12.7,3,4.4,5.4,16.3,2,63.8,5.3,0,0,25.34246575,0.4989404761904762,52.046731084029865,91.83486871247554,11.8,8.092700015611438,34.24966662954944,31.12418758530423,19.99594993016508,0.6630508332653743,0.37252006970245033,79.2,22.6,2.1,3.7,26.5,6.6,14.2,4.5,10,53,66,6,11.5,10.9,30.7,72,20.7,13.6,86.6,23.4,49.8,NA,2.4,46.571,7.821
Jefferson Park,2.6,12.2,26.4,10.5,4.3,3.7,4,3.9,63.2,13.1,3,2,94.42431001,0.6375604395604395,54.998779658267374,84.27584070625377,30.5,8.177939268159935,30.638765,27.876711124531298,20.520219605030228,0.6321895649657031,0.3968327716584452,80.9,21.5,1.3,2.3,26,3.1,15.3,2.7,9.1,45.3,58.3,5,10.6,11.7,23.5,65.5,21.3,14.5,84,16.1,42.3,NA,1.8,31.211,9.914
Kennedy,26.5,8.8,27.7,18.8,4.8,4.3,1.9,5.1,30.7,15.899999999999999,0,0,0,0.49638095238095237,48.70102835953838,82.6024464275416,62.8,8.028739793301602,35.845237000000004,31.33779262577345,19.856488500536493,0.6689476688895175,0.3694569726251019,NA,23.2,1.5,2.2,31.3,2.5,19.4,3.7,10.5,42.9,57.2,5,16.8,15,22.1,55,21.9,19,75.9,17.2,38.6,NA,1.6,72.967,11.823
Lincoln Park,11.363097776424004,22.764742613463294,40.9241242765763,12.404949741090466,21.14907097167225,6.47505330490405,9.605772159610114,6.1138135851355475,42.2721596101127,12.599177581480353,0.8,0.6,91.54173193,0.7274010989010989,55.611353616849385,71.14421972687153,46.214636003655194,8.359864738339404,30.698395722505488,29.32494740480468,22.276261856783385,0.6400114428032397,0.45880827876107655,74.2,25.036237408113262,2.3391233324258103,3.927525183773482,29.318812959433707,3.788401851347672,19.976803702695346,5.1028859243125515,11.001442962156275,38.49680365296803,60.15505036754696,8.05649332970324,17.395616662129047,19.201388510754153,27.343452218894637,54.171086305472365,24.55937925401579,22.101388510754152,77.1999642218247,22.023141845902533,35.031050228310505,NA,2.5014429621562755,87.28017374517376,14.079728070175438
Lowry Field,4.368027965819554,7.940872267228942,15.147364332482521,1.3894240372877593,2.510820108755965,3.2406281211852184,17.114904006214626,5.108411940961047,73.91874375762957,3.2574520031073133,4,0,57.28270042,0.5773733333333333,52.944351488365655,82.13109887323019,14.679791366108088,8.131698866847612,32.95685554467145,31.347760933560764,19.923531317908058,0.6663330229353428,0.3644441520378217,79.4,22.4,1.8000000000000003,3.1000000000000005,25.699999999999996,5.4,14.3,3.3999999999999995,9.7,54.5,63.60000000000001,4.8,10,9.4,26.6,72.7,19.5,12,86.5,19.9,46.2,NA,2,98.92644209265175,8.255973451327435
